Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-96.82758	2.8535395	-92.0	-100.0	153.17241	-0.05568211	0.20161575	0.7039864	-0.7075014	5000	-1.4901161e-08	1982.5171	-0.029653225	-618.69507	3.4193501	0.015164127	0.1446	29.0	7.302527904510498
1	-93.6	17.816847	0.0	-100.0	150.9	-8.4585705	2.4779518	9.060492	-9.199745	10000	2.9802322e-08	1435.8922	-0.037909903	-330.4643	3.4071069	0.015035456	0.2078	60.0	14.279593706130981
2	-96.55173	3.747056	-84.0	-100.0	152.41379	-13.77784	4.3705707	14.548508	-14.732986	15000	5.5879354e-09	1119.2458	-0.04658519	-248.87906	3.3955727	0.0150401285	0.2336	71.0	21.805002450942993
3	-95.333336	4.742245	-84.0	-100.0	155.5	-18.742195	4.093509	19.11873	-19.51039	20000	4.4703484e-08	803.88293	-0.04547506	-160.52489	3.385174	0.012078782	0.23539999	79.0	29.13945436477661
4	-96.25	3.15238	-88.0	-100.0	152.90625	-22.943436	2.6765535	20.042276	-23.458437	25000	7.508788e-09	712.3761	-0.035246264	-144.11243	3.3719072	0.015036781	0.16260001	41.0	36.348687171936035
5	-95.73333	3.5677571	-88.0	-100.0	151.06667	-26.889383	2.4671052	14.766169	-27.30566	30000	1.1175871e-08	559.83777	-0.035805047	-86.32492	3.3647091	0.015001685	0.187	39.0	43.738370180130005
6	-95.48387	4.737435	-80.0	-100.0	153.93549	-29.910936	3.545887	29.858139	-30.482447	35000	-1.4901161e-08	470.42636	-0.03743659	-82.664764	3.3434834	0.015126662	0.2052	40.0	50.91817116737366
7	-93.86667	5.9985185	-80.0	-100.0	158.13333	-31.286274	4.524686	18.060047	-33.267826	40000	-1.5366822e-08	426.8988	-0.042436417	-65.806335	3.3242836	0.015063733	0.2126	51.0	58.52082324028015
8	-95.86667	3.79239	-84.0	-100.0	153.5	-33.083633	4.874509	9.096222	-35.6994	45000	6.0535967e-09	355.6698	-0.04519177	-49.608543	3.3149714	0.015054439	0.2216	66.0	65.77575922012329
9	-95.48387	4.0310965	-88.0	-100.0	153.58064	-34.371975	5.706699	6.20819	-38.00294	50000	6.519258e-09	326.22208	-0.03611532	-50.594364	3.2965667	0.0152154025	0.2048	35.0	73.01079058647156
