Epoch,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,EpLen,AverageVVals,StdVVals,MaxVVals,MinVVals,TotalEnvInteracts,LossPi,LossV,DeltaLossPi,DeltaLossV,Entropy,KL,ClipFrac,StopIter,Time
0,-85.789474,12.902791,-30.0,-100.0,257.6842,0.008653314,0.18055408,0.33935305,-0.7597010000000001,10000,-3.7873786e-08,1041.7085,-0.024407497,-333.6661,3.4335067,0.015052376999999999,0.17561758,40.0,27.19087100028992
1,-83.07692,17.417034,-20.0,-100.0,252.41026000000002,-7.551494,3.7230138999999998,8.627334,-9.032528,20000,-8.614734000000001e-09,743.35516,-0.031130502,-194.99268999999998,3.425812,0.012767871,0.18771876,79.0,51.608939409255974
2,-82.051285,17.567377,-30.0,-100.0,251.02562999999998,-12.660309,4.3476405,13.817860000000001,-14.431816,30000,3.1432137e-09,550.86523,-0.033739414,-149.06861999999998,3.4139663999999996,0.013081473,0.22672267,79.0,76.33202767372131
3,-78.20513000000001,19.983557,-30.0,-100.0,252.46152999999998,-17.130485999999998,4.1262746,16.52085,-18.926292,40000,2.0489096999999997e-08,401.91617,-0.031468615,-99.891754,3.4042739999999996,0.01504688,0.20942093,62.0,101.47078657150269
4,-83.07692,14.702843,-40.0,-100.0,248.33333,-18.033203,5.238567400000001,11.670577999999999,-22.60097,50000,1.2417635e-09,330.12976000000003,-0.03655219,-62.454409999999996,3.3881257000000007,0.013768833999999999,0.22072208,79.0,125.03895616531372
5,-79.25,16.490528,-40.0,-100.0,244.05,-21.07957,5.97159,-1.1653749,-26.013462,60000,7.1401396e-09,263.2079,-0.03735769,-46.58804,3.3712699999999995,0.01357074,0.19891989,79.0,148.29045271873474
6,-76.31579,20.186115,-20.0,-100.0,254.10527000000002,-21.653456,8.282963,9.389758,-28.990269,70000,9.313226000000001e-09,235.4331,-0.03754446,-30.950552000000002,3.3589265,0.013754065,0.19981998,79.0,172.6773715019226
7,-76.410255,15.440071,-30.0,-100.0,249.0,-21.521664,10.171799,14.895954000000001,-31.280890000000003,80000,7.450581e-09,183.91046,-0.03785612,-28.854843,3.3482964,0.012660913000000001,0.20132013,79.0,197.25785231590268
8,-81.31579,16.087107,-20.0,-100.0,254.78947000000002,-23.103775,10.394824,4.2663555,-33.125972999999995,90000,-9.313226e-10,188.53609,-0.034708045,-23.139328,3.3388233,0.015083153,0.19131912,68.0,220.17105960845947
9,-80.51281999999999,18.250216,-20.0,-100.0,249.48718,-24.344984,10.190225,7.684009599999999,-34.832508000000004,100000,0.0,175.1425,-0.03907847,-21.33761,3.326565,0.013494421999999999,0.20282029,79.0,245.0943512916565
