Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	58.88889	22.118088	96.0	32.0	692.55554	7.6891108	4.1397357	19.248009	-11.116918	10000	-3.228585e-08	46.11421	-0.013242282	-12.975921	0.4348059	0.01514291	0.09760976	18.0	25.772531986236572
1	59.77778	36.693256	100.0	-15.0	714.2222	6.5614853	4.323359	21.657463	-28.943903	20000	0.0	46.1544	-0.010498568	-11.7134905	0.4553622	0.01639762	0.07890789	8.0	47.601426124572754
2	58.440002	37.51829	100.0	-25.0	764.0	6.519498	4.6099615	20.241846	-32.897694	30000	-9.934108e-09	59.57622	-0.009522273	-7.9290257	0.4467275	0.015491695	0.09520952	14.0	71.99722528457642
3	52.444443	37.839165	100.0	-10.0	711.8889	5.8448277	4.207929	21.667158	-16.871841	40000	1.0554989e-08	89.57226	-0.006897516	-16.767166	0.4375113	0.015099429	0.096209615	10.0	95.50938510894775
4	72.77778	17.899584	96.0	51.0	681.0	5.6188245	4.5803375	21.70317	-12.58095	50000	2.2351742e-08	40.881603	-0.011291978	-10.207935	0.44105628	0.015355508	0.086508654	22.0	118.3419942855835
5	76.55556	20.061634	100.0	41.0	708.44446	7.4164658	4.075913	22.266869	-16.038363	60000	-3.7252903e-09	29.537308	-0.008229401	-4.6016726	0.45424142	0.015004565	0.09010901	9.0	142.26623344421387
6	56.859997	44.22597	100.0	-60.0	715.9	7.7184877	4.2983565	22.556637	-38.75757	70000	3.7252903e-09	74.67267	-0.018185066	-17.682497	0.4487318	0.015178245	0.105710566	63.0	165.94785022735596
7	83.04	20.485468	100.0	34.0	736.6	6.2394924	5.3454986	20.787094	-22.418652	80000	1.8626451e-08	41.93601	-0.007645601	-18.21687	0.44683698	0.015736936	0.08260826	8.0	188.02056431770325
8	61.444443	32.52046	96.0	-11.0	687.55554	8.189194	4.225894	21.486086	-13.767433	90000	-1.4901161e-08	54.294754	-0.0061338297	-17.5039	0.46132958	0.016006798	0.04810481	4.0	210.3397946357727
9	77.111115	18.929367	100.0	46.0	679.1111	6.315683	4.3900447	22.956669	-15.043014	100000	-7.450581e-09	36.690205	-0.0068748905	-12.566602	0.45287862	0.016005605	0.07660766	8.0	234.17951273918152
10	43.333332	38.838696	96.0	-25.0	698.8889	7.7341266	4.3862348	21.452032	-36.195183	110000	-7.450581e-09	107.234276	-0.009866067	-29.649004	0.4525049	0.015191518	0.100410044	11.0	255.5147190093994
11	71.333336	23.851393	92.0	18.0	673.55554	5.4812574	4.622453	21.076775	-28.2116	120000	1.8626451e-08	45.45459	-0.007157048	-12.271732	0.4620538	0.016438676	0.09520952	7.0	278.11224842071533
12	64.77778	20.82081	92.0	36.0	709.0	6.539366	4.3831067	22.322033	-15.815574	130000	1.4901161e-08	40.694702	-0.0074201184	-4.8415	0.455578	0.015641026	0.09050906	8.0	300.8655035495758
13	65.333336	27.178423	100.0	20.0	702.44446	6.1727185	4.025329	21.329788	-13.165217	140000	-9.934108e-09	35.00627	-0.009120271	-4.6282287	0.4531324	0.016089715	0.08610862	10.0	324.2682628631592
14	40.555557	29.870502	92.0	-15.0	687.0	6.8248305	3.9637394	22.744623	-33.210526	150000	-1.4901161e-08	85.540924	-0.011594967	-17.72475	0.44522846	0.015504	0.08150815	16.0	346.04821252822876
15	71.42	17.481064	96.0	51.0	727.3	5.449094	4.464582	24.542547	-23.066225	160000	-1.1796753e-08	44.04106	-0.010306253	-20.033298	0.46440342	0.015215855	0.083808385	13.0	370.82800555229187
16	31.333334	38.0847	80.0	-20.0	702.7778	6.876982	4.416998	22.322252	-41.326775	170000	-1.1796753e-08	113.68759	-0.010360989	-38.37771	0.47334734	0.015048089	0.07720772	12.0	395.34207940101624
17	63.333332	19.87181	96.0	40.0	719.7778	4.5527067	5.7400393	20.07106	-40.183327	180000	5.5879354e-09	58.283733	-0.008711906	-23.950638	0.45784327	0.016443154	0.079307936	10.0	419.1801037788391
18	23.222221	41.07115	96.0	-35.0	672.55554	5.7268887	4.9339457	21.818592	-49.057407	190000	-2.6077032e-08	128.7298	-0.0077212024	-32.794537	0.46747136	0.015760692	0.08220822	10.0	442.49419808387756
19	64.888885	30.03866	100.0	20.0	716.2222	3.614961	6.117314	20.692924	-40.09066	200000	1.086543e-09	65.51038	-0.007174594	-31.098211	0.4698564	0.017614594	0.06930693	7.0	465.8184175491333
20	61.11111	33.053642	96.0	4.0	713.8889	6.5834403	4.342818	20.504341	-28.290575	210000	-1.2572855e-08	53.815968	-0.00787644	-6.024254	0.45179772	0.015479618	0.11221122	8.0	488.36033821105957
21	64.111115	29.297115	96.0	-5.0	680.0	6.3252606	4.7301517	23.285748	-21.743835	220000	1.6142925e-08	60.938313	-0.005207981	-9.063167	0.4471136	0.01504347	0.084608465	8.0	510.86628341674805
22	63.22222	24.30262	96.0	20.0	705.2222	6.659931	3.8446932	21.718517	-23.98061	230000	7.450581e-09	51.6021	-0.010868783	-11.29053	0.447975	0.015309901	0.08780879	15.0	532.9047319889069
23	73.666664	16.839108	100.0	47.0	670.1111	6.7578177	4.644681	20.657612	-32.56652	240000	1.9247333e-08	34.17796	-0.009012945	-4.598989	0.44584045	0.016904848	0.08420842	11.0	554.8583686351776
24	76.666664	20.281355	100.0	40.0	691.55554	7.150421	4.2545094	20.525188	-12.741905	250000	4.967054e-09	32.4572	-0.0070713833	-5.158554	0.44551542	0.015315195	0.073507346	8.0	577.098804473877
25	52.6	41.12712	100.0	-35.0	757.2	7.6001124	4.205115	22.266068	-22.578022	260000	-3.973643e-08	67.33119	-0.0070800497	-13.612175	0.443042	0.015527966	0.08950895	10.0	599.740660905838
26	66.520004	27.252771	100.0	27.0	745.4	6.2146444	4.4857116	23.09097	-27.688103	270000	4.967054e-09	49.415066	-0.007601069	-8.342437	0.44071817	0.015200284	0.09050905	8.0	626.5437788963318
27	70.44444	23.113781	100.0	34.0	716.3333	6.516991	4.5796075	25.445877	-11.385328	280000	1.6142925e-08	34.79652	-0.006005975	-4.275192	0.4380003	0.016115306	0.071607165	7.0	651.3772275447845
28	75.78	18.44873	100.0	48.0	747.1	7.1923065	4.13267	25.620554	-14.541325	290000	2.6697913e-08	24.25531	-0.009007556	-4.265433	0.43203273	0.015033494	0.09430943	14.0	673.2374978065491
